,team_id,player_id,loc_x,loc_y,ball_z,shot_clock
201,1610612737.0,201143.0,47.35006,24.52459,0.0,24.0
202,1610612737.0,201952.0,29.63551,23.48978,0.0,24.0
203,1610612737.0,203145.0,40.61994,31.67857,0.0,24.0
204,1610612765.0,101141.0,56.43997,25.50319,0.0,24.0
205,1610612765.0,202704.0,73.64185,25.46927,0.0,24.0
206,1610612765.0,202694.0,48.75734,35.33912,0.0,24.0
207,1610612765.0,203484.0,48.53584,14.48675,0.0,24.0
208,1610612765.0,203083.0,47.35006,24.52459,0.0,24.0
209,-1.0,-1.0,47.24703,25.85747,10.83532,24.0
210,1610612737.0,2594.0,45.81374,15.72725,0.0,24.0
211,1610612737.0,200794.0,57.44889,23.84576,0.0,24.0
212,1610612737.0,201143.0,47.28801,24.58755,0.0,24.0
213,1610612737.0,201952.0,29.70233,23.49356,0.0,24.0
214,1610612737.0,203145.0,40.63349,31.67858,0.0,24.0
215,1610612765.0,101141.0,56.42799,25.52093,0.0,24.0
216,1610612765.0,202704.0,73.62453,25.474,0.0,24.0
217,1610612765.0,202694.0,48.81587,35.35687,0.0,24.0
218,1610612765.0,203484.0,48.54346,14.48531,0.0,24.0
219,1610612765.0,203083.0,47.28801,24.58755,0.0,24.0
220,-1.0,-1.0,47.24703,25.85747,10.83532,24.0
221,1610612737.0,2594.0,45.82754,15.72558,0.0,24.0
222,1610612737.0,200794.0,57.60403,24.0483,0.0,24.0
223,1610612737.0,201143.0,47.21449,24.65026,0.0,24.0
224,1610612737.0,201952.0,29.76915,23.50429,0.0,24.0
225,1610612737.0,203145.0,40.64514,31.67489,0.0,24.0
226,1610612765.0,101141.0,56.42615,25.52497,0.0,24.0
227,1610612765.0,202704.0,73.60504,25.48366,0.0,24.0
228,1610612765.0,202694.0,48.88229,35.36965,0.0,24.0
229,1610612765.0,203484.0,48.55197,14.48278,0.0,24.0
230,1610612765.0,203083.0,47.21449,24.65026,0.0,24.0
231,-1.0,-1.0,47.33133,25.83358,10.83475,24.0
232,1610612737.0,2594.0,45.83874,15.7226,0.0,24.0
233,1610612737.0,200794.0,57.7642,24.24159,0.0,24.0
234,1610612737.0,201143.0,47.13807,24.67531,0.0,24.0
